Taxa	DTA_BJ	EW_BJ	PH_BJ
MG_87	61	112.5	202.25
MG_876	69	98	265.75
MG_877	66	70	239
MG_879	69	22	287.2
MG_880	68	62	212
MG_881	68	60	218
MG_884	65	47.5	215.75
MG_885	73	26.66666667	242.75
MG_890	71	64	253.75
MG_893	64	88	245.2
MG_894	67	70	231.2
MG_897	72	73.33333333	217.2
MG_898	64	60	222.2
MG_899	67	72	175.6
MG_900	69	53.33333333	227.5
MG_901	68	93.33333333	298
MG_905	69	70	181.75
MG_90	66	104	247
MG_907	68	92.5	197.5
MG_909	65	96	214.6
MG_911	65	72	201
MG_912	67	30	235.5
MG_913	68	56.66666667	239.25
MG_914	62	92	253.6
MG_915	66	90	197.75
MG_917	64	70	186.75
MG_923	64	74	237.25
MG_924	66	82	219.6
MG_925	65	78	220
MG_926	68	64	199.5
MG_927	68	47.5	188.25
MG_931	67	73.33333333	223.6
MG_932	65	50	205
MG_933	62	62	232.8
MG_935	68	62	219
MG_936	75	46	214.25
MG_937	66	70	236.2
MG_938	67	93.33333333	207.6
MG_942	64	88	230.2
MG_944	64	65	224.2
MG_945	64	22	232.4
MG_94	62	104	224.4
MG_946	63	68	213.2
MG_948	64	86.66666667	214
MG_949	67	82	209.25
MG_950	68	80	219.25
MG_952	67	80	224.8
MG_954	67	74	189
MG_955	63	40	186
MG_956	65	94	194.25
MG_95	68	112.5	230.5
MG_957	68	67.5	253
MG_958	66	78	245.75
MG_960	69	93.33333333	213.2
MG_961	69	48	207.8
MG_962	63	60	223.8
MG_963	65	90	224.25
MG_965	64	83.33333333	248.4
MG_967	67	55	213.5
MG_970	65	27.5	233.8
MG_975	66	40	220.75
MG_980	66	64	171.4
MG_983	70	35	225.4
MG_984	69	86	205.4
MG_985	65	26.66666667	264
MG_986	65	52.5	253
MG_987	65	46.66666667	197.8
MG_989	69	58	187
MG_990	71	60	211.6
MG_991	65	83.33333333	197
MG_992	66	95	232.2
MG_995	65	30	236.25
MG_996	68	87.5	191.5
MG_997	67	70	200.4
MG_998	67	56.66666667	248
MG_1001	69	76	219.6
MG_1003	69	95	232
MG_1005	70	56.66666667	192.2
MG_1006	63	80	232.5
MG_1007	63	80	185.6
MG_1010	69	44	201.4
MG_1011	65	57.5	242
MG_1012	71	60	188
MG_1013	68	56	238.5
MG_1014	63	96.66666667	237.8
MG_1015	66	74	231.25
MG_1016	65	50	175
MG_1017	70	40	255.25
MG_1020	71	23.33333333	221.2
MG_1021	68	90	219.6
MG_1022	66	90	245.4
MG_1023	69	46	228.8
MG_1024	63	72	219.75
MG_1025	66	70	234
MG_102	67	133.3333333	231.4
MG_1027	64	56.66666667	223.5
MG_1028	66	97.5	238.2
MG_1029	70	90	203.25
MG_1030	64	74	227.4
MG_1033	63	60	207.4
MG_1035	67	92	226.6
MG_1037	70	78	240.75
MG_1038	69	93.33333333	216
MG_1039	73	66.66666667	232.8
MG_1042	66	42.5	235.4
MG_1043	65	53.33333333	259.4
MG_1044	67	93.33333333	241.8
MG_1047	71	56.66666667	248
MG_1048	68	70	228
MG_1049	68	98	221.2
MG_1051	71	95	233
MG_1052	68	60	210
MG_1054	65	50	220.2
MG_1055	71	33.33333333	197.8
MG_1057	70	52.5	243.6
MG_1060	65	53.33333333	236.2
MG_1062	68	72	230
MG_1063	72	63.33333333	220
MG_1065	63	83.33333333	192.2
MG_106	68	107.5	189.4
MG_1067	63	33.33333333	242.4
MG_1070	69	90	196.6
MG_1071	71	43.33333333	211
MG_1072	63	74	211.25
MG_1073	66	70	213.8
MG_1074	68	46	243.4
MG_1075	69	67.5	235.4
MG_1076	69	90	224.75
MG_1077	72	73.33333333	230.4
MG_1078	65	60	241.6
MG_1080	65	76	206.8
MG_1081	70	64	224.2
MG_1082	70	54	221.75
MG_1083	71	42	242
MG_1084	68	42	228.75
MG_1085	68	80	221
MG_1087	73	35	196.4
MG_1089	74	77.5	265
MG_1090	65	37.5	230.2
MG_1092	69	50	239.4
MG_1093	66	85	228.2
MG_1094	67	90	219.75
MG_1097	63	88	228
MG_1099	67	76	203.6
MG_1103	63	48	218.75
MG_1104	64	90	186
MG_1106	68	97.5	180.8
MG_1109	66	93.33333333	249.8
MG_1110	71	65	229.75
MG_1111	73	23.33333333	215.8
MG_1114	68	55	227.4
MG_1116	67	67.5	217.6
MG_1117	69	20	221
MG_1118	67	97.5	238
MG_1120	70	80	263
MG_1121	71	62	221
MG_1123	74	70	237
MG_1124	68	76.66666667	268
MG_1125	59	77.5	159.4
MG_112	66	106.6666667	230
MG_1127	68	30	255
MG_1128	67	72	234.6
MG_1129	69	36.66666667	151.4
MG_1132	68	56	231.25
MG_1133	70	20	215
MG_1137	68	70	222.75
MG_1138	71	76	227.6
MG_1140	67	70	228
MG_1141	72	66.66666667	212.4
MG_1142	70	97.5	238
MG_1144	68	84	225.2
MG_1145	67	92	236.8
MG_1147	68	60	224.2
MG_1148	68	76	269.6
MG_1149	67	74	241.8
MG_1152	69	60	246.4
MG_1153	65	56.66666667	248.6
MG_1154	72	53.33333333	208.6
MG_1155	68	83.33333333	254
MG_1156	69	26	225
MG_1159	67	66.66666667	214.2
MG_1163	69	33.33333333	220.8
MG_1164	66	32.5	208.5
MG_1165	71	64	205.8
MG_1171	65	77.5	198.2
MG_1173	68	70	221.8
MG_1174	68	45	259.25
MG_117	65	122	268
MG_1176	62	53.33333333	256.75
MG_1179	65	60	243.6
MG_1181	68	22	220
MG_1182	67	57.5	243
MG_1183	71	23.33333333	210.2
MG_1185	68	42.5	189.6
MG_118	68	100	225.5
MG_1190	68	40	224
MG_1191	63	42.5	214.2
MG_1192	68	63.33333333	247
MG_1195	66	90	217.5
MG_119	63	100	209
MG_1196	67	90	188.4
MG_1197	66	94	222
MG_1199	66	97.5	223.6
MG_1201	63	68	236
MG_1202	66	93.33333333	230
MG_1204	68	90	228.75
MG_1207	66	70	204.8
MG_1210	64	78	227.8
MG_1215	66	47.5	191.2
MG_1217	66	93.33333333	220.8
MG_1219	68	80	245
MG_1220	66	95	291.2
MG_1223	70	83.33333333	230.4
MG_1225	62	60	246.8
MG_122	65	100	261.25
MG_1226	65	83.33333333	193.5
MG_1229	65	66.66666667	236.2
MG_1230	65	82	224.4
MG_1241	66	42.5	257.6
MG_1243	63	76.66666667	243.2
MG_1244	62	70	200
MG_1247	66	62	243.25
MG_1248	64	92	226.5
MG_1249	62	70	208.4
MG_1251	75	64	207.4
MG_1255	69	90	211.6
MG_125	66	104	251
MG_1257	67	83.33333333	209.8
MG_1260	66	98	195.4
MG_1261	65	36	212.2
MG_1262	63	87.5	249
MG_1264	69	62	196
MG_126	69	132.5	222.4
MG_1268	67	46.66666667	236.8
MG_1270	64	90	232.2
MG_1271	65	50	195.5
MG_1272	63	90	224.5
MG_1273	71	82.5	220.8
MG_1277	68	56.66666667	246
MG_1279	68	36	248.5
MG_1281	71	80	237
MG_1283	70	80	237.6
MG_1284	66	80	223.2
MG_1285	67	54	220.8
MG_128	62	132.5	223
MG_1286	66	45	264.25
MG_1287	71	95	236
MG_1290	65	84	180.4
MG_1291	65	98	220.8
MG_1292	69	80	185
MG_1293	69	40	192
MG_1294	69	53.33333333	240
MG_1296	67	53.33333333	245.5
MG_1299	68	52.5	239
MG_1301	69	55	252.75
MG_1304	67	66	230.8
MG_1305	67	70	243.2
MG_130	59	130	222
MG_1308	66	55	186.3333333
MG_1309	63	84	250
MG_1310	68	98	195.75
MG_1313	67	54	238.2
MG_131	61	105	202.8
MG_1316	66	92.5	231.4
MG_1317	65	60	200
MG_1319	70	18	247.5
MG_1321	70	76	199.6
MG_1322	65	60	219
MG_1323	70	34	228.6
MG_1324	66	78	252.5
MG_1325	70	72.5	277.4
MG_1326	68	65	248.75
MG_1327	64	42	244.2
MG_1329	68	92.5	250.75
MG_1333	66	70	242.6
MG_133	62	102	245.8
MG_1336	72	46.66666667	230.2
MG_1337	65	52.5	214.2
MG_1341	67	30	258.2
MG_134	64	102.5	206.6
MG_135	66	134	256
MG_1394	72	36.66666667	242.75
MG_1395	67	10	211.4
MG_1398	68	85	152.8
MG_1399	69	83.33333333	213
MG_1400	71	95	206.4
MG_1404	69	90	194
MG_1408	69	92	219
MG_1409	63	86	212
MG_1412	65	86	237.8
MG_1415	67	75	264.25
MG_1416	67	50	218.4
MG_1418	66	36.66666667	218.75
MG_1419	70	23.33333333	228
MG_1420	73	30	172.5
MG_1421	72	30	235.5
MG_1426	67	34	248.2
MG_1427	70	87.5	242.5
MG_1429	63	96	211.2
MG_1430	68	53.33333333	230.8
MG_1431	62	66	170
MG_1432	66	50	222.25
MG_1442	71	22	220.75
MG_1445	65	76.66666667	182
MG_1448	70	73.33333333	246.6
MG_1449	69	90	250.6
MG_1452	71	97.5	239.8
MG_1453	71	43.33333333	228
MG_1454	68	37.5	192.4
MG_1456	69	12	197.5
MG_1459	63	72	188.5
MG_1460	62	87.5	229.5
MG_146	62	107.5	234.2
MG_1466	71	33.33333333	176.8
MG_1467	64	53.66666667	225.75
MG_1469	68	47.5	258
MG_1471	63	95	256.4
MG_1472	63	72	213.75
MG_1473	65	57.5	232
MG_1474	70	50	305
MG_1476	64	86	229.6
MG_1478	66	75	201.8
MG_1479	67	92	232.2
MG_1481	68	76.66666667	229.2
MG_1484	67	93.33333333	215.2
MG_1485	67	45	207.75
MG_1487	65	57.5	197.6
MG_1491	64	40	223.75
MG_1495	71	70	226
MG_1496	71	73.33333333	250
MG_1498	67	52.5	232.25
MG_1499	67	44	204
MG_1500	68	92.5	240
MG_1504	69	60	208.2
MG_1505	70	36.66666667	245.8
MG_1506	71	78	228.6
MG_1509	68	30	251.25
MG_152	64	117.5	230.8
MG_154	63	117.5	199.2
MG_156	63	130	240.2
MG_159	64	104	210.6
MG_161	65	118	248.4
MG_163	68	104	251
MG_164	66	120	230.2
MG_165	65	108	240
MG_170	68	130	220.25
MG_177	68	106	231.75
MG_181	68	106.6666667	210.8
MG_182	67	103.3333333	237.8
MG_184	66	123.3333333	225.6
MG_185	68	115	232.2
MG_187	65	106	232.8
MG_192	63	112	219.5
MG_194	68	100	258.6
MG_203	68	103.3333333	263.2
MG_204	66	126	224.75
MG_214	64	106.6666667	236.6
MG_216	66	116	177.6
MG_217	64	116.6666667	230
MG_220	67	118	244.2
MG_223	63	100	210.2
MG_226	67	120	178.6
MG_231	68	155	211.5
MG_239	63	137.5	244.25
MG_244	63	105	223.75
MG_245	68	150	215.6
MG_252	68	120	218.6
MG_257	68	104	241.2
MG_270	63	134	194.25
MG_274	63	113.3333333	269
MG_277	68	106	214
MG_288	69	103.3333333	238
MG_290	64	116	270.5
MG_293	68	120	203.6
MG_294	66	107.5	216.6
MG_295	63	124	220.6
MG_296	68	113.3333333	218.2
MG_298	67	130	194.2
MG_301	66	102.5	223.8
MG_303	66	110	240.2
MG_306	68	118	268.6
MG_308	67	103.3333333	226.5
MG_313	68	100	190.75
MG_315	66	113.3333333	235
MG_316	67	100	222.4
MG_319	67	100	240
MG_324	64	120	188.6
MG_326	64	110	231.25
MG_331	67	110	253.6
MG_340	67	120	228.25
MG_342	65	106.6666667	243
MG_348	66	106.6666667	228.5
MG_363	63	117.5	268.75
MG_371	66	106	226.8
MG_375	66	140	258.6
MG_383	64	140	201
MG_386	67	115	226.2
MG_392	62	114	264
MG_393	65	140	247.25
MG_399	67	130	215.4
MG_403	68	100	237.6
MG_409	68	106.6666667	214.25
MG_410	64	123.3333333	274.4
MG_412	67	122.5	252
MG_415	61	114	235.2
MG_418	67	102	244.8
MG_422	63	106	229.6
MG_423	65	110	238.8
MG_426	67	107.5	243.25
MG_427	68	100	254.25
MG_428	73	103.3333333	186.6
MG_432	64	106.6666667	185
MG_434	64	100	202.5
MG_441	67	133.3333333	197.2
MG_444	70	100	214.4
MG_448	63	107.5	189.5
MG_450	68	112.5	191
MG_455	70	106	228.75
MG_456	65	114	214.75
MG_458	66	106.6666667	224.8
MG_460	69	102.5	209.4
MG_461	63	100	248.4
MG_462	67	122	221
MG_464	68	116	233
MG_470	68	126.6666667	245
MG_471	63	100	186
MG_475	71	102	210
MG_480	65	110	234.4
MG_485	66	105	214.25
MG_487	67	102	183.5
MG_492	70	100	230.75
MG_497	65	116	236
MG_500	67	120	225.25
MG_503	66	116	221.75
MG_504	64	108	214.75
MG_505	68	106	223.2
MG_508	66	160	232.4
MG_522	66	106	214.8
MG_524	62	100	203
MG_527	65	146	221.6
MG_530	67	107.5	214
MG_531	64	110	232.5
MG_532	64	140	251.2
MG_534	69	136	230.75
MG_537	68	102.5	181.4
MG_538	66	140	214.5
MG_540	65	107.5	268.8
MG_541	68	108.75	223.25
MG_542	63	120	177.4
MG_543	65	140	249.4
MG_544	64	135	223
MG_545	67	116.6666667	249
MG_550	66	105	217.6
MG_551	68	118	221.6
MG_558	67	102.5	244.5
MG_559	65	102	255
MG_570	67	106.6666667	222.75
MG_573	68	102.5	257
MG_574	67	126	259
MG_576	66	106	257.2
MG_590	69	112	188.75
MG_591	69	112.5	214.4
MG_592	69	146.6666667	232.4
MG_599	65	122.5	204.4
MG_603	68	100	216.6
MG_611	68	128	232.25
MG_615	65	126	216
MG_621	67	102.5	194
MG_630	69	106.6666667	201
MG_634	65	126.6666667	229
MG_647	64	104	237.6
MG_648	70	127.5	208.5
MG_657	68	146.6666667	221.6
MG_659	68	103.3333333	171
MG_666	66	112	205.8
MG_667	65	123.3333333	230.75
MG_670	70	102	183.8
MG_671	68	102.5	254.2
MG_673	65	138	243.5
MG_675	65	104	255.25
MG_678	63	108	248.25
MG_683	70	116.6666667	238
MG_684	69	100	170.8
MG_685	63	106.6666667	236
MG_687	65	132	223
MG_688	66	152.5	284
MG_690	69	122	240.25
MG_691	65	105	232.8
MG_694	65	210	239.6
MG_696	68	135	275.8
MG_699	68	102.5	182
MG_703	68	100	232.4
MG_705	64	143.3333333	226.6
MG_706	67	113.3333333	246
MG_709	67	100	275
MG_710	66	100	234
MG_725	64	100	245.4
MG_730	68	106.6666667	264.2
MG_732	68	118	249.2
MG_737	66	116.6666667	228.25
